"","participant","song","valence_target","arousal_target","affectcat","songmark","word","songtrials_this_trial_n","rep_number","trial_number","arousal_rating","valence_rating","liking","emotion_rating","emotion_target","anxious","ashamed","scared","alert","angry","happy","active","sad","guilty","tender","frustrated","excited","na"
"974","031","30MonoWAV/30MonoF4.wav","negative","high",2,4,"ANXIOUS",3,1,19,3,1,1,3,"fear",3,1,3,3,2,1,2,1,1,1,2,2,NA
"975","031","30MonoWAV/30MonoF2.wav","negative","high",2,2,"ALERT",4,1,20,2,1,1,3,"fear",3,1,3,3,2,1,2,1,1,1,3,2,NA
"976","031","30MonoWAV/30MonoH4.wav","positive","high",1,8,"ACTIVE",5,1,21,3,3,3,4,"happy",1,1,1,3,1,3,4,1,1,2,1,3,NA
"977","031","30MonoWAV/30MonoT3.wav","positive","low",4,15,"FRUSTRATED",6,1,22,1,1,1,3,"tender",2,1,2,2,2,2,2,2,1,2,3,1,NA
"978","031","30MonoWAV/30MonoS2.wav","negative","low",3,10,"GUILTY",7,1,23,2,3,3,1,"sad",1,1,1,2,1,3,1,1,1,3,1,1,NA
"979","031","30MonoWAV/30MonoT2.wav","positive","low",4,14,"ALERT",8,1,24,1,1,1,1,"tender",2,1,1,1,1,1,1,2,1,1,2,1,NA
"980","032","30MonoWAV/30MonoH3.wav","positive","high",1,7,"ANXIOUS",0,0,0,2,3,2,1,"happy",1,1,1,1,1,2,2,1,1,1,1,2,NA
"981","032","30MonoWAV/30MonoH2.wav","positive","high",1,6,"GUILTY",1,0,1,3,3,2,1,"happy",1,1,1,1,1,2,2,1,1,1,1,2,NA
"982","032","30MonoWAV/30MonoF3.wav","negative","high",2,3,"SAD",2,0,2,2,2,2,1,"fear",2,1,1,2,1,1,1,1,1,1,1,3,NA
"983","032","30MonoWAV/30MonoF1.wav","negative","high",2,1,"GUILTY",3,0,3,2,1,2,1,"fear",2,1,1,2,1,1,2,1,1,1,1,2,NA
"984","032","30MonoWAV/30MonoS4.wav","negative","low",3,12,"ALERT",4,0,4,1,1,2,1,"sad",1,1,1,1,1,1,1,1,1,1,2,1,NA
"985","032","30MonoWAV/30MonoF2.wav","negative","high",2,2,"SCARED",5,0,5,2,1,1,2,"fear",2,1,2,2,1,1,2,1,1,2,1,1,NA
"986","032","30MonoWAV/30MonoT1.wav","positive","low",4,13,"ANGRY",6,0,6,1,2,2,1,"tender",1,1,1,1,1,1,1,1,1,1,1,1,NA
"987","032","30MonoWAV/30MonoT4.wav","positive","low",4,16,"SCARED",7,0,7,2,3,2,1,"tender",1,1,1,1,1,2,1,1,1,1,1,1,NA
"988","032","30MonoWAV/30MonoT3.wav","positive","low",4,15,"FRUSTRATED",8,0,8,1,2,1,1,"tender",1,1,1,1,1,1,1,1,1,1,1,1,NA
"989","032","30MonoWAV/30MonoT2.wav","positive","low",4,14,"FRUSTRATED",9,0,9,1,3,2,1,"tender",1,1,1,1,1,2,1,1,1,1,1,1,NA
"990","032","30MonoWAV/30MonoS3.wav","negative","low",3,11,"FRUSTRATED",10,0,10,1,1,2,1,"sad",2,1,1,1,1,1,1,2,1,1,1,1,NA
"991","032","30MonoWAV/30MonoH4.wav","positive","high",1,8,"FRUSTRATED",11,0,11,3,3,3,1,"happy",1,1,1,1,1,2,1,1,1,1,1,3,NA
